"Lap","Time","Gap to lead","Average KPH","Pos","Tyre (%)","Fuel (L)"
"START","Medium tyres","",""
"1","1:52.656","+ 0:02.600","151.02","5","-","-"
"2","1:48.537","+ 0:03.492","156.75","5","-","-"
"3","1:47.859","+ 0:03.865","157.74","5","-","-"
"4","1:47.238","+ 0:03.853","158.65","5","-","-"
"5","1:46.796","+ 0:03.262","159.31","5","-","-"
"6","1:47.079","+ 0:02.499","158.89","4","-","-"
"7","1:46.625","+ 0:01.189","159.56","4","-","-"
"8","1:45.768","+ 0:01.455","160.86","2","-","-"
"9","1:45.080","-","161.91","1","-","-"
"10","1:44.581","-","162.68","1","-","-"
"11","1:44.505","-","162.80","1","-","-"
"12","1:59.461","+ 0:07.372","142.42","2","-","-"
"PIT","3 seconds / Soft tyres","",""
"13","1:53.309","+ 0:15.872","150.15","3","-","-"
"14","1:43.012","+ 0:14.162","165.16","3","-","-"
"15","1:42.800","+ 0:12.467","165.50","3","-","-"
"16","1:42.341","+ 0:09.859","166.24","3","-","-"
"17","1:41.677","+ 0:02.642","167.33","2","-","-"
"18","1:41.554","+ 0:02.109","167.53","2","-","-"
"19","1:41.934","+ 0:01.876","166.91","2","-","-"
"20","1:41.860","+ 0:01.839","167.03","2","-","-"
"21","1:42.413","+ 0:03.043","166.13","2","-","-"
"22","1:57.596","+ 0:04.517","144.68","3","-","-"
"PIT","3 seconds / Medium tyres","",""
"23","1:50.198","+ 0:08.904","154.39","6","-","-"
"24","1:39.917","+ 0:06.098","170.28","5","-","-"
"25","1:40.589","+ 0:06.624","169.14","4","-","-"
"26","1:39.409","+ 0:05.290","171.15","4","-","-"
"27","1:39.065","+ 0:04.540","171.74","3","-","-"
"28","1:38.861","+ 0:04.510","172.10","3","-","-"
"29","1:38.687","+ 0:04.478","172.40","3","-","-"
"30","1:38.712","+ 0:04.522","172.36","3","-","-"
"31","1:38.717","+ 0:04.937","172.35","3","-","-"
"32","1:38.331","+ 0:05.037","173.02","3","-","-"
"33","1:39.175","+ 0:05.828","171.55","3","-","-"
"34","1:53.515","+ 0:20.965","149.88","3","-","-"
"PIT","3 seconds / Medium tyres","",""
"35","1:47.045","+ 0:15.414","158.94","3","-","-"
"36","1:37.379","+ 0:06.847","174.72","3","-","-"
"37","1:36.820","+ 0:07.317","175.72","3","-","-"
"38","1:36.637","+ 0:07.523","176.06","3","-","-"
"39","1:36.571","+ 0:07.823","176.18","3","-","-"
"40","1:36.088","+ 0:08.128","177.06","3","-","-"
"41","1:36.313","+ 0:08.279","176.65","3","-","-"
"42","1:35.727","+ 0:08.566","177.73","3","-","-"
"43","1:35.959","+ 0:09.375","177.30","2","-","-"
"44","1:35.719","+ 0:10.080","177.75","2","-","-"
"45","1:35.585","+ 0:10.509","177.99","2","-","-"
"46","1:35.639","+ 0:11.052","177.89","2","-","-"
"47","1:49.790","+ 0:11.467","154.96","2","-","-"
"PIT","3 seconds / Medium tyres","",""
"48","1:43.225","+ 0:11.457","164.82","3","-","-"
"49","1:34.231","+ 0:12.020","180.55","3","-","-"
"50","1:34.196","+ 0:12.618","180.62","3","-","-"
"51","1:33.210","+ 0:11.902","182.53","2","-","-"
"52","1:33.650","+ 0:12.007","181.67","2","-","-"
"53","1:33.538","+ 0:12.490","181.89","2","-","-"
"54","1:33.400","+ 0:13.247","182.16","2","-","-"
"55","1:33.100","+ 0:13.213","182.75","2","-","-"
"56","1:32.607","+ 0:13.182","183.72","2","-","-"
"57","1:32.995","+ 0:18.498","182.95","2","-","-"
"58","1:27.996","+ 0:14.194","193.35","2","-","-"
"59","1:32.428","+ 0:14.114","184.07","2","-","-"
