"Lap","Time","Gap to lead","Average MPH","Pos","Tyre (%)","Fuel (L)"
"START","Soft tyres / 170 litres of fuel","",""
"1","1:41.429","+ 0:03.284","77.14","4"," 96"," 167.9"
"2","1:36.170","+ 0:05.248","81.36","4"," 92"," 165.8"
"3","1:35.574","+ 0:06.666","81.87","4"," 88"," 163.7"
"4","1:35.270","+ 0:08.605","82.13","4"," 85"," 161.6"
"5","1:34.778","+ 0:09.825","82.56","4"," 81"," 159.5"
"6","1:34.044","+ 0:10.624","83.2","4"," 78"," 157.4"
"7","1:34.431","+ 0:11.431","82.86","4"," 75"," 155.3"
"8","1:34.891","+ 0:13.294","82.46","4"," 72"," 153.2"
"9","1:34.331","+ 0:14.619","82.95","4"," 69"," 151.1"
"10","1:34.064","+ 0:15.075","83.18","4"," 66"," 149"
"11","1:33.553","+ 0:14.967","83.64","3"," 63"," 146.9"
"12","1:33.552","-","83.64","1"," 60"," 144.8"
"13","1:33.622","-","83.58","1"," 57"," 142.7"
"14","1:33.589","-","83.61","1"," 55"," 140.6"
"15","1:34.307","+ 0:02.512","82.97","2"," 52"," 138.5"
"16","1:34.675","+ 0:06.298","82.65","2"," 50"," 136.4"
"17","1:34.189","+ 0:09.868","83.08","3"," 48"," 134.3"
"18","1:50.423","+ 0:29.629","70.86","4"," 99"," 132.2"
"PIT","3 seconds / Medium tyres","",""
"19","1:36.654","+ 0:35.712","80.96","4"," 97"," 130.1"
"20","1:31.893","+ 0:37.878","85.15","4"," 94"," 128"
"21","1:31.187","+ 0:39.422","85.81","4"," 91"," 125.9"
"22","1:30.941","+ 0:40.620","86.04","4"," 88"," 123.7"
"23","1:30.417","+ 0:41.060","86.54","4"," 86"," 121.6"
"24","1:30.329","+ 0:41.115","86.63","4"," 83"," 119.5"
"25","1:30.365","+ 0:41.376","86.59","4"," 81"," 117.4"
"26","1:29.713","+ 0:41.172","87.22","4"," 78"," 115.3"
"27","1:30.242","+ 0:41.261","86.71","4"," 76"," 113.2"
"28","1:29.889","+ 0:41.608","87.05","4"," 74"," 111.1"
"29","1:29.334","+ 0:40.684","87.59","4"," 71"," 109"
"30","1:28.959","+ 0:38.509","87.96","4"," 69"," 106.9"
"31","1:29.335","+ 0:36.044","87.59","4"," 67"," 104.8"
"32","1:28.999","+ 0:34.098","87.92","4"," 65"," 102.7"
"33","1:29.244","+ 0:26.411","87.68","4"," 63"," 100.6"
"34","1:29.449","+ 0:24.875","87.48","4"," 60"," 98.5"
"35","1:29.059","+ 0:17.585","87.86","3"," 58"," 96.4"
"36","1:28.471","+ 0:19.754","88.45","3"," 56"," 94.3"
"37","1:29.409","+ 0:23.256","87.51","3"," 55"," 92.2"
"38","1:29.106","+ 0:26.713","87.81","3"," 53"," 90.1"
